Date,Canada Annual GDP (M),GDP Growth (%),GDP per capita,GDP P.C. Annual Growth,
2018,1712479,2.00%,2018,46290,2.40%
2017,1649934,3.20%,2017,45217,6.50%
2016,1530024,1.00%,2016,42440,-2.70%
2015,1556506,0.70%,2015,43626,-14.50%
2014,1805745,2.90%,2014,51021,-3.20%
2013,1846595,2.30%,2013,52709,-0.10%
2012,1828363,1.80%,2012,52744,0.90%
2011,1793327,3.10%,2011,52286,9.80%
2010,1617344,3.10%,2010,47627,16.20%
2009,1376509,-2.90%,2009,40991,-12.40%
2008,1552865,1.00%,2008,46774,4.60%
2007,1468897,2.10%,2007,44717,10.30%
2006,1319327,2.60%,2006,40558,11.30%
2005,1173490,3.20%,2005,36439,13.30%
2004,1026467,3.10%,2004,32176,13.50%
2003,895593,1.80%,2003,28339,16.70%
2002,760144,3.00%,2002,24279,1.80%
2001,738961,1.80%,2001,23860,-1.80%
2000,744623,5.20%,2000,24296,8.80%
1999,678408,5.20%,1999,22340,6.20%
1998,633996,3.90%,1998,21046,-4.00%
1997,654989,4.30%,1997,21930,2.80%
1996,630577,1.60%,1996,21325,3.00%
1995,605921,2.70%,1995,20706,3.40%
1994,579904,4.50%,1994,20024,-0.90%
1993,579050,2.70%,1993,20210,-3.70%
1992,594365,0.90%,1992,20984,-4.10%
1991,612503,-2.10%,1991,21885,1.50%
1990,596077,0.20%,1990,21572,3.50%
1989,567215,2.30%,1989,20842,9.50%
1988,509372,4.40%,1988,19041,16.10%
1987,433133,4.10%,1987,16408,12.90%
1986,379009,2.10%,1986,14540,2.50%
1985,366179,4.70%,1985,14186,1.70%
1984,356723,5.90%,1984,13947,3.40%
1983,341859,2.60%,1983,13493,7.60%
1982,314635,-3.20%,1982,12544,1.20%
1981,307243,3.50%,1981,12397,9.90%
1980,276035,2.20%,1980,11280,12.30%
1979,243072,3.70%,1979,10044,10.10%
1978,218633,3.70%,1978,9124,2.30%
1977,211612,3.40%,1977,8919,1.30%
1976,206576,5.90%,1976,8809,17.30%
1975,173834,1.50%,1975,7511,6.80%
1974,160409,3.30%,1974,7033,20.50%
1973,131322,6.80%,1973,5839,14.70%
1972,113083,5.50%,1972,5090,12.60%
1971,99272,4.00%,1971,4520,9.70%
1970,87896,3.00%,1970,4122,9.50%
1969,79148,5.00%,1969,3764,8.70%
1968,71830,5.00%,1968,3463,7.60%
1967,65669,3.10%,1967,3217,5.60%
1966,61088,6.70%,1966,3047,10.00%
1965,54515,6.30%,1965,2770,8.40%
1964,49378,6.60%,1964,2555,7.60%
1963,45030,5.30%,1963,2375,4.70%
1962,42227,7.40%,1962,2269,1.30%
1961,40935,3.10%,1961,2240,-0.80%
1960,40462,,1960,2259,
