"REF_DATE","GEO","DGUID","Type of sales","Type of beverage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1989","Canada","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463244","1.1.1","189402","","","","0"
"1989","Canada","","Total sales","Spirits","Litres","203","thousands","3","v28463245","1.1.2","56542","","","","0"
"1989","Canada","","Total sales","Wine","Litres","203","thousands","3","v28463246","1.1.3","26888","","","","0"
"1989","Canada","","Total sales","Beer","Litres","203","thousands","3","v28463247","1.1.4","105972","","","","0"
"1989","Canada","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463248","1.2.1","8.8","","","","1"
"1989","Canada","","Total per capita sales","Spirits","Litres","203","units ","0","v28463249","1.2.2","2.6","","","","1"
"1989","Canada","","Total per capita sales","Wine","Litres","203","units ","0","v28463250","1.2.3","1.2","","","","1"
"1989","Canada","","Total per capita sales","Beer","Litres","203","units ","0","v28463251","1.2.4","4.9","","","","1"
"1989","Newfoundland and Labrador","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463252","2.1.1","4245","","","","0"
"1989","Newfoundland and Labrador","","Total sales","Spirits","Litres","203","thousands","3","v28463253","2.1.2","1462","","","","0"
"1989","Newfoundland and Labrador","","Total sales","Wine","Litres","203","thousands","3","v28463254","2.1.3","168","","","","0"
"1989","Newfoundland and Labrador","","Total sales","Beer","Litres","203","thousands","3","v28463255","2.1.4","2615","","","","0"
"1989","Newfoundland and Labrador","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463256","2.2.1","9.6","","","","1"
"1989","Newfoundland and Labrador","","Total per capita sales","Spirits","Litres","203","units ","0","v28463257","2.2.2","3.3","","","","1"
"1989","Newfoundland and Labrador","","Total per capita sales","Wine","Litres","203","units ","0","v28463258","2.2.3","0.4","","","","1"
"1989","Newfoundland and Labrador","","Total per capita sales","Beer","Litres","203","units ","0","v28463259","2.2.4","5.9","","","","1"
"1989","Prince Edward Island","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463260","3.1.1","790","","","","0"
"1989","Prince Edward Island","","Total sales","Spirits","Litres","203","thousands","3","v28463261","3.1.2","300","","","","0"
"1989","Prince Edward Island","","Total sales","Wine","Litres","203","thousands","3","v28463262","3.1.3","59","","","","0"
"1989","Prince Edward Island","","Total sales","Beer","Litres","203","thousands","3","v28463263","3.1.4","431","","","","0"
"1989","Prince Edward Island","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463264","3.2.1","7.9","","","","1"
"1989","Prince Edward Island","","Total per capita sales","Spirits","Litres","203","units ","0","v28463265","3.2.2","3.0","","","","1"
"1989","Prince Edward Island","","Total per capita sales","Wine","Litres","203","units ","0","v28463266","3.2.3","0.6","","","","1"
"1989","Prince Edward Island","","Total per capita sales","Beer","Litres","203","units ","0","v28463267","3.2.4","4.3","","","","1"
"1989","Nova Scotia","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463268","4.1.1","5921","","","","0"
"1989","Nova Scotia","","Total sales","Spirits","Litres","203","thousands","3","v28463269","4.1.2","2241","","","","0"
"1989","Nova Scotia","","Total sales","Wine","Litres","203","thousands","3","v28463270","4.1.3","556","","","","0"
"1989","Nova Scotia","","Total sales","Beer","Litres","203","thousands","3","v28463271","4.1.4","3124","","","","0"
"1989","Nova Scotia","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463272","4.2.1","8.2","","","","1"
"1989","Nova Scotia","","Total per capita sales","Spirits","Litres","203","units ","0","v28463273","4.2.2","3.1","","","","1"
"1989","Nova Scotia","","Total per capita sales","Wine","Litres","203","units ","0","v28463274","4.2.3","0.8","","","","1"
"1989","Nova Scotia","","Total per capita sales","Beer","Litres","203","units ","0","v28463275","4.2.4","4.4","","","","1"
"1989","New Brunswick","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463276","5.1.1","3988","","","","0"
"1989","New Brunswick","","Total sales","Spirits","Litres","203","thousands","3","v28463277","5.1.2","1238","","","","0"
"1989","New Brunswick","","Total sales","Wine","Litres","203","thousands","3","v28463278","5.1.3","358","","","","0"
"1989","New Brunswick","","Total sales","Beer","Litres","203","thousands","3","v28463279","5.1.4","2392","","","","0"
"1989","New Brunswick","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463280","5.2.1","6.9","","","","1"
"1989","New Brunswick","","Total per capita sales","Spirits","Litres","203","units ","0","v28463281","5.2.2","2.1","","","","1"
"1989","New Brunswick","","Total per capita sales","Wine","Litres","203","units ","0","v28463282","5.2.3","0.6","","","","1"
"1989","New Brunswick","","Total per capita sales","Beer","Litres","203","units ","0","v28463283","5.2.4","4.1","","","","1"
