"REF_DATE","GEO","DGUID","Age","Type of institution attended","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995/1996","Canada","2016A000011124","15 years old","Total type of institution attended","Percent","239","units ","0","v99908352","1.1.1","97","A","","","0"
"1995/1996","Canada","2016A000011124","15 years old","Elementary/High School","Percent","239","units ","0","v99908353","1.1.2","97","A","","","0"
"1995/1996","Canada","2016A000011124","15 years old","College","Percent","239","units ","0","v99908354","1.1.3","","x","","","0"
"1995/1996","Canada","2016A000011124","15 years old","University","Percent","239","units ","0","v99908355","1.1.4","","x","","","0"
"1995/1996","Canada","2016A000011124","16 years old","Total type of institution attended","Percent","239","units ","0","v99908356","1.2.1","94","A","","","0"
"1995/1996","Canada","2016A000011124","16 years old","Elementary/High School","Percent","239","units ","0","v99908357","1.2.2","93","A","","","0"
"1995/1996","Canada","2016A000011124","16 years old","College","Percent","239","units ","0","v99908358","1.2.3","2","C","","","0"
"1995/1996","Canada","2016A000011124","16 years old","University","Percent","239","units ","0","v99908359","1.2.4","","x","","","0"
"1995/1996","Canada","2016A000011124","17 years old","Total type of institution attended","Percent","239","units ","0","v99908360","1.3.1","86","A","","","0"
"1995/1996","Canada","2016A000011124","17 years old","Elementary/High School","Percent","239","units ","0","v99908361","1.3.2","72","A","","","0"
"1995/1996","Canada","2016A000011124","17 years old","College","Percent","239","units ","0","v99908362","1.3.3","12","B","","","0"
"1995/1996","Canada","2016A000011124","17 years old","University","Percent","239","units ","0","v99908363","1.3.4","2","B","","","0"
"1995/1996","Canada","2016A000011124","18 years old","Total type of institution attended","Percent","239","units ","0","v99908364","1.4.1","68","A","","","0"
"1995/1996","Canada","2016A000011124","18 years old","Elementary/High School","Percent","239","units ","0","v99908365","1.4.2","38","A","","","0"
"1995/1996","Canada","2016A000011124","18 years old","College","Percent","239","units ","0","v99908366","1.4.3","20","A","","","0"
"1995/1996","Canada","2016A000011124","18 years old","University","Percent","239","units ","0","v99908367","1.4.4","10","B","","","0"
"1995/1996","Canada","2016A000011124","19 years old","Total type of institution attended","Percent","239","units ","0","v99908368","1.5.1","57","A","","","0"
"1995/1996","Canada","2016A000011124","19 years old","Elementary/High School","Percent","239","units ","0","v99908369","1.5.2","13","B","","","0"
"1995/1996","Canada","2016A000011124","19 years old","College","Percent","239","units ","0","v99908370","1.5.3","23","A","","","0"
"1995/1996","Canada","2016A000011124","19 years old","University","Percent","239","units ","0","v99908371","1.5.4","21","A","","","0"
"1995/1996","Canada","2016A000011124","20 years old","Total type of institution attended","Percent","239","units ","0","v99908372","1.6.1","48","A","","","0"
"1995/1996","Canada","2016A000011124","20 years old","Elementary/High School","Percent","239","units ","0","v99908373","1.6.2","4","B","","","0"
"1995/1996","Canada","2016A000011124","20 years old","College","Percent","239","units ","0","v99908374","1.6.3","18","A","","","0"
"1995/1996","Canada","2016A000011124","20 years old","University","Percent","239","units ","0","v99908375","1.6.4","25","A","","","0"
"1995/1996","Canada","2016A000011124","21 years old","Total type of institution attended","Percent","239","units ","0","v99908376","1.7.1","43","A","","","0"
"1995/1996","Canada","2016A000011124","21 years old","Elementary/High School","Percent","239","units ","0","v99908377","1.7.2","2","C","","","0"
"1995/1996","Canada","2016A000011124","21 years old","College","Percent","239","units ","0","v99908378","1.7.3","15","B","","","0"
"1995/1996","Canada","2016A000011124","21 years old","University","Percent","239","units ","0","v99908379","1.7.4","26","A","","","0"
"1995/1996","Canada","2016A000011124","22 years old","Total type of institution attended","Percent","239","units ","0","v99908380","1.8.1","35","A","","","0"
"1995/1996","Canada","2016A000011124","22 years old","Elementary/High School","Percent","239","units ","0","v99908381","1.8.2","2","C","","","0"
"1995/1996","Canada","2016A000011124","22 years old","College","Percent","239","units ","0","v99908382","1.8.3","11","B","","","0"
"1995/1996","Canada","2016A000011124","22 years old","University","Percent","239","units ","0","v99908383","1.8.4","22","A","","","0"
"1995/1996","Canada","2016A000011124","23 years old","Total type of institution attended","Percent","239","units ","0","v99908384","1.9.1","26","A","","","0"
"1995/1996","Canada","2016A000011124","23 years old","Elementary/High School","Percent","239","units ","0","v99908385","1.9.2","1","C","","","0"
"1995/1996","Canada","2016A000011124","23 years old","College","Percent","239","units ","0","v99908386","1.9.3","10","B","","","0"
"1995/1996","Canada","2016A000011124","23 years old","University","Percent","239","units ","0","v99908387","1.9.4","15","B","","","0"
"1995/1996","Canada","2016A000011124","24 years old","Total type of institution attended","Percent","239","units ","0","v99908388","1.10.1","19","A","","","0"
"1995/1996","Canada","2016A000011124","24 years old","Elementary/High School","Percent","239","units ","0","v99908389","1.10.2","1","C","","","0"
"1995/1996","Canada","2016A000011124","24 years old","College","Percent","239","units ","0","v99908390","1.10.3","7","B","","","0"
"1995/1996","Canada","2016A000011124","24 years old","University","Percent","239","units ","0","v99908391","1.10.4","12","B","","","0"
"1995/1996","Canada","2016A000011124","25 years old","Total type of institution attended","Percent","239","units ","0","v99908392","1.11.1","14","B","","","0"
"1995/1996","Canada","2016A000011124","25 years old","Elementary/High School","Percent","239","units ","0","v99908393","1.11.2","0","C","","","0"
"1995/1996","Canada","2016A000011124","25 years old","College","Percent","239","units ","0","v99908394","1.11.3","6","B","","","0"
"1995/1996","Canada","2016A000011124","25 years old","University","Percent","239","units ","0","v99908395","1.11.4","8","B","","","0"
"1995/1996","Canada","2016A000011124","26 years old","Total type of institution attended","Percent","239","units ","0","v99908396","1.12.1","12","B","","","0"
"1995/1996","Canada","2016A000011124","26 years old","Elementary/High School","Percent","239","units ","0","v99908397","1.12.2","0","C","","","0"
"1995/1996","Canada","2016A000011124","26 years old","College","Percent","239","units ","0","v99908398","1.12.3","5","B","","","0"
"1995/1996","Canada","2016A000011124","26 years old","University","Percent","239","units ","0","v99908399","1.12.4","7","B","","","0"
"1995/1996","Canada","2016A000011124","27 years old","Total type of institution attended","Percent","239","units ","0","v99908400","1.13.1","9","B","","","0"
"1995/1996","Canada","2016A000011124","27 years old","Elementary/High School","Percent","239","units ","0","v99908401","1.13.2","0","C","","","0"
"1995/1996","Canada","2016A000011124","27 years old","College","Percent","239","units ","0","v99908402","1.13.3","4","B","","","0"
"1995/1996","Canada","2016A000011124","27 years old","University","Percent","239","units ","0","v99908403","1.13.4","4","B","","","0"
"1995/1996","Canada","2016A000011124","28 years old","Total type of institution attended","Percent","239","units ","0","v99908404","1.14.1","9","B","","","0"
"1995/1996","Canada","2016A000011124","28 years old","Elementary/High School","Percent","239","units ","0","v99908405","1.14.2","1","D","","","0"
"1995/1996","Canada","2016A000011124","28 years old","College","Percent","239","units ","0","v99908406","1.14.3","3","B","","","0"
"1995/1996","Canada","2016A000011124","28 years old","University","Percent","239","units ","0","v99908407","1.14.4","5","B","","","0"
"1995/1996","Canada","2016A000011124","29 years old","Total type of institution attended","Percent","239","units ","0","v99908408","1.15.1","7","B","","","0"
"1995/1996","Canada","2016A000011124","29 years old","Elementary/High School","Percent","239","units ","0","v99908409","1.15.2","1","D","","","0"
"1995/1996","Canada","2016A000011124","29 years old","College","Percent","239","units ","0","v99908410","1.15.3","3","B","","","0"
"1995/1996","Canada","2016A000011124","29 years old","University","Percent","239","units ","0","v99908411","1.15.4","3","B","","","0"
"2000/2001","Canada","2016A000011124","15 years old","Total type of institution attended","Percent","239","units ","0","v99908352","1.1.1","96","A","","","0"
"2000/2001","Canada","2016A000011124","15 years old","Elementary/High School","Percent","239","units ","0","v99908353","1.1.2","95","A","","","0"
"2000/2001","Canada","2016A000011124","15 years old","College","Percent","239","units ","0","v99908354","1.1.3","1","B","","","0"
"2000/2001","Canada","2016A000011124","15 years old","University","Percent","239","units ","0","v99908355","1.1.4","","x","","","0"
"2000/2001","Canada","2016A000011124","16 years old","Total type of institution attended","Percent","239","units ","0","v99908356","1.2.1","94","A","","","0"
"2000/2001","Canada","2016A000011124","16 years old","Elementary/High School","Percent","239","units ","0","v99908357","1.2.2","92","A","","","0"
"2000/2001","Canada","2016A000011124","16 years old","College","Percent","239","units ","0","v99908358","1.2.3","2","B","","","0"
"2000/2001","Canada","2016A000011124","16 years old","University","Percent","239","units ","0","v99908359","1.2.4","","x","","","0"
"2000/2001","Canada","2016A000011124","17 years old","Total type of institution attended","Percent","239","units ","0","v99908360","1.3.1","87","A","","","0"
"2000/2001","Canada","2016A000011124","17 years old","Elementary/High School","Percent","239","units ","0","v99908361","1.3.2","78","A","","","0"
"2000/2001","Canada","2016A000011124","17 years old","College","Percent","239","units ","0","v99908362","1.3.3","9","B","","","0"
"2000/2001","Canada","2016A000011124","17 years old","University","Percent","239","units ","0","v99908363","1.3.4","1","B","","","0"
"2000/2001","Canada","2016A000011124","18 years old","Total type of institution attended","Percent","239","units ","0","v99908364","1.4.1","69","A","","","0"
"2000/2001","Canada","2016A000011124","18 years old","Elementary/High School","Percent","239","units ","0","v99908365","1.4.2","40","A","","","0"
"2000/2001","Canada","2016A000011124","18 years old","College","Percent","239","units ","0","v99908366","1.4.3","20","A","","","0"
"2000/2001","Canada","2016A000011124","18 years old","University","Percent","239","units ","0","v99908367","1.4.4","9","B","","","0"
"2000/2001","Canada","2016A000011124","19 years old","Total type of institution attended","Percent","239","units ","0","v99908368","1.5.1","57","A","","","0"
"2000/2001","Canada","2016A000011124","19 years old","Elementary/High School","Percent","239","units ","0","v99908369","1.5.2","14","A","","","0"
"2000/2001","Canada","2016A000011124","19 years old","College","Percent","239","units ","0","v99908370","1.5.3","24","A","","","0"
"2000/2001","Canada","2016A000011124","19 years old","University","Percent","239","units ","0","v99908371","1.5.4","20","A","","","0"
"2000/2001","Canada","2016A000011124","20 years old","Total type of institution attended","Percent","239","units ","0","v99908372","1.6.1","49","A","","","0"
"2000/2001","Canada","2016A000011124","20 years old","Elementary/High School","Percent","239","units ","0","v99908373","1.6.2","4","B","","","0"
"2000/2001","Canada","2016A000011124","20 years old","College","Percent","239","units ","0","v99908374","1.6.3","20","A","","","0"
"2000/2001","Canada","2016A000011124","20 years old","University","Percent","239","units ","0","v99908375","1.6.4","25","A","","","0"
"2000/2001","Canada","2016A000011124","21 years old","Total type of institution attended","Percent","239","units ","0","v99908376","1.7.1","43","A","","","0"
"2000/2001","Canada","2016A000011124","21 years old","Elementary/High School","Percent","239","units ","0","v99908377","1.7.2","2","B","","","0"
"2000/2001","Canada","2016A000011124","21 years old","College","Percent","239","units ","0","v99908378","1.7.3","15","A","","","0"
"2000/2001","Canada","2016A000011124","21 years old","University","Percent","239","units ","0","v99908379","1.7.4","26","A","","","0"
"2000/2001","Canada","2016A000011124","22 years old","Total type of institution attended","Percent","239","units ","0","v99908380","1.8.1","36","A","","","0"
"2000/2001","Canada","2016A000011124","22 years old","Elementary/High School","Percent","239","units ","0","v99908381","1.8.2","1","B","","","0"
"2000/2001","Canada","2016A000011124","22 years old","College","Percent","239","units ","0","v99908382","1.8.3","12","B","","","0"
"2000/2001","Canada","2016A000011124","22 years old","University","Percent","239","units ","0","v99908383","1.8.4","22","A","","","0"
"2000/2001","Canada","2016A000011124","23 years old","Total type of institution attended","Percent","239","units ","0","v99908384","1.9.1","27","A","","","0"
"2000/2001","Canada","2016A000011124","23 years old","Elementary/High School","Percent","239","units ","0","v99908385","1.9.2","1","C","","","0"
"2000/2001","Canada","2016A000011124","23 years old","College","Percent","239","units ","0","v99908386","1.9.3","9","B","","","0"
"2000/2001","Canada","2016A000011124","23 years old","University","Percent","239","units ","0","v99908387","1.9.4","18","B","","","0"
"2000/2001","Canada","2016A000011124","24 years old","Total type of institution attended","Percent","239","units ","0","v99908388","1.10.1","21","A","","","0"
"2000/2001","Canada","2016A000011124","24 years old","Elementary/High School","Percent","239","units ","0","v99908389","1.10.2","1","C","","","0"
"2000/2001","Canada","2016A000011124","24 years old","College","Percent","239","units ","0","v99908390","1.10.3","7","B","","","0"
"2000/2001","Canada","2016A000011124","24 years old","University","Percent","239","units ","0","v99908391","1.10.4","13","B","","","0"
"2000/2001","Canada","2016A000011124","25 years old","Total type of institution attended","Percent","239","units ","0","v99908392","1.11.1","15","B","","","0"
"2000/2001","Canada","2016A000011124","25 years old","Elementary/High School","Percent","239","units ","0","v99908393","1.11.2","0","C","","","0"
"2000/2001","Canada","2016A000011124","25 years old","College","Percent","239","units ","0","v99908394","1.11.3","6","B","","","0"
"2000/2001","Canada","2016A000011124","25 years old","University","Percent","239","units ","0","v99908395","1.11.4","9","B","","","0"
"2000/2001","Canada","2016A000011124","26 years old","Total type of institution attended","Percent","239","units ","0","v99908396","1.12.1","12","B","","","0"
"2000/2001","Canada","2016A000011124","26 years old","Elementary/High School","Percent","239","units ","0","v99908397","1.12.2","1","C","","","0"
"2000/2001","Canada","2016A000011124","26 years old","College","Percent","239","units ","0","v99908398","1.12.3","5","B","","","0"
"2000/2001","Canada","2016A000011124","26 years old","University","Percent","239","units ","0","v99908399","1.12.4","6","B","","","0"
"2000/2001","Canada","2016A000011124","27 years old","Total type of institution attended","Percent","239","units ","0","v99908400","1.13.1","10","B","","","0"
"2000/2001","Canada","2016A000011124","27 years old","Elementary/High School","Percent","239","units ","0","v99908401","1.13.2","0","C","","","0"
"2000/2001","Canada","2016A000011124","27 years old","College","Percent","239","units ","0","v99908402","1.13.3","4","B","","","0"
"2000/2001","Canada","2016A000011124","27 years old","University","Percent","239","units ","0","v99908403","1.13.4","6","B","","","0"
"2000/2001","Canada","2016A000011124","28 years old","Total type of institution attended","Percent","239","units ","0","v99908404","1.14.1","9","B","","","0"
"2000/2001","Canada","2016A000011124","28 years old","Elementary/High School","Percent","239","units ","0","v99908405","1.14.2","0","D","","","0"
"2000/2001","Canada","2016A000011124","28 years old","College","Percent","239","units ","0","v99908406","1.14.3","3","B","","","0"
"2000/2001","Canada","2016A000011124","28 years old","University","Percent","239","units ","0","v99908407","1.14.4","5","B","","","0"
"2000/2001","Canada","2016A000011124","29 years old","Total type of institution attended","Percent","239","units ","0","v99908408","1.15.1","8","B","","","0"
"2000/2001","Canada","2016A000011124","29 years old","Elementary/High School","Percent","239","units ","0","v99908409","1.15.2","","x","","","0"
"2000/2001","Canada","2016A000011124","29 years old","College","Percent","239","units ","0","v99908410","1.15.3","4","B","","","0"
"2000/2001","Canada","2016A000011124","29 years old","University","Percent","239","units ","0","v99908411","1.15.4","4","B","","","0"
"2005/2006","Canada","2016A000011124","15 years old","Total type of institution attended","Percent","239","units ","0","v99908352","1.1.1","96","A","","","0"
"2005/2006","Canada","2016A000011124","15 years old","Elementary/High School","Percent","239","units ","0","v99908353","1.1.2","95","A","","","0"
"2005/2006","Canada","2016A000011124","15 years old","College","Percent","239","units ","0","v99908354","1.1.3","1","B","","","0"
"2005/2006","Canada","2016A000011124","15 years old","University","Percent","239","units ","0","v99908355","1.1.4","","x","","","0"
"2005/2006","Canada","2016A000011124","16 years old","Total type of institution attended","Percent","239","units ","0","v99908356","1.2.1","93","A","","","0"
"2005/2006","Canada","2016A000011124","16 years old","Elementary/High School","Percent","239","units ","0","v99908357","1.2.2","92","A","","","0"
