"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","21","","","","0"
"1999","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","48","","","","0"
"2000","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","55","","","","0"
"2001","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","35","","","","0"
"2002","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","29","","","","0"
"2003","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","40","","","","0"
"2004","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","37","","","","0"
"2005","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","28","","","","0"
"2006","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","30","","","","0"
"2007","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","42","","","","0"
"2008","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","35","","","","0"
"2009","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","26","","","","0"
"2010","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","26","","","","0"
"2011","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","22","","","","0"
"2012","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","23","","","","0"
"2013","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","19","","","","0"
"2014","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","20","","","","0"
"2015","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","26","","","","0"
"2016","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","29","","","","0"
"2017","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","21","","","","0"
"2018","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","26","","","","0"
"2019","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Actual incidents","Number","223","units","0","v68755446","1.150.1","5","","","","0"
"1998","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Rate per 100,000 population","Rate","257","units","0","v68755447","1.150.2","0.18","","","","2"
"1999","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Rate per 100,000 population","Rate","257","units","0","v68755447","1.150.2","0.42","","","","2"
"2000","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Rate per 100,000 population","Rate","257","units","0","v68755447","1.150.2","0.47","","","","2"
"2001","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Rate per 100,000 population","Rate","257","units","0","v68755447","1.150.2","0.29","","","","2"
"2002","Ontario [35]","2016A000235","Operation while impaired causing death (alcohol) [9210]","Rate per 100,000 population","Rate","257","units","0","v68755447","1.150.2","0.24","","","","2"
