"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","21621","","","","0"
"1999","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","22387","","","","0"
"2000","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","22842","","","","0"
"2001","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","21480","","","","0"
"2002","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","20617","","","","0"
"2003","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","18976","","","","0"
"2004","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","18249","","","","0"
"2005","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","17898","","","","0"
"2006","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","17737","","","","0"
"2007","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","17902","","","","0"
"2008","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","18752","","","","0"
"2009","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","18207","","","","0"
"2010","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","17269","","","","0"
"2011","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","17230","","","","0"
"2012","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","17195","","","","0"
"2013","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","15820","","","","0"
